# LinguaRust dictionary: front (EN)  back (RU)  example
# Разделитель — табуляция. Строки, начинающиеся с #, игнорируются.
# --- Повседневная жизнь ---
to study	учиться, изучать	She studies English every day.
to learn	учить, выучить	We learn new words at each lesson.
to memorize	заучивать	He memorized the poem by heart.
to revise	повторять (материал)	I need to revise grammar before the test.
homework	домашнее задание	The homework is due on Monday.
essay	сочинение, эссе	Write an essay about your favourite book.
exam	экзамен	The exam is in two weeks.
to pass	сдать (экзамен)	She passed the exam with a high score.
to fail	провалить, не сдать	He failed maths twice.
grade	оценка	She got a good grade in biology.
subject	предмет (в школе)	My favourite subject is literature.
timetable	расписание	Check the timetable for tomorrow.
lecture	лекция	The lecture lasted ninety minutes.
seminar	семинар	We discussed the topic at the seminar.
to graduate	заканчивать (учёбу)	He graduates from university next year.
degree	степень, диплом	She has a degree in chemistry.
knowledge	знания	Knowledge grows with practice.
to improve	улучшать	Reading helps improve vocabulary.
to practice	практиковаться	Practice speaking every day.
skills	навыки	Communication skills matter at work.
# --- Природа ---
environment	окружающая среда	We must protect the environment.
climate	климат	The climate is changing rapidly.
weather	погода	The weather turned cold yesterday.
forecast	прогноз	The forecast says rain in the evening.
drought	засуха	The drought damaged the harvest.
flood	наводнение	The flood destroyed several bridges.
earthquake	землетрясение	The earthquake was mild but scary.
mountain	гора	We climbed the mountain at dawn.
valley	долина	The river runs through the valley.
forest	лес	The forest is full of birds.
ocean	океан	They sailed across the ocean.
wave	волна	The waves were high today.
sunrise	восход солнца	We watched the sunrise from the cliff.
sunset	закат	The sunset painted the sky orange.
to pollute	загрязнять	Factories pollute the river.
waste	отходы	Sort the waste before recycling.
to recycle	перерабатывать	We recycle paper and glass.
energy	энергия	Solar energy is clean and renewable.
wildlife	дикая природа	The national park protects local wildlife.
to survive	выживать	Some plants survive in the desert.
# --- Здоровье ---
to recover	выздоравливать	She recovered from the flu quickly.
illness	болезнь	The illness kept him at home for a week.
symptom	симптом	A cough is a common symptom.
to treat	лечить	The doctor treats patients with care.
treatment	лечение	The treatment lasts a month.
prescription	рецепт (на лекарство)	The doctor wrote a prescription.
dose	доза	Take one dose in the morning.
to inject	делать укол	The nurse injected the vaccine.
vaccine	вакцина	The vaccine protects against the virus.
to prevent	предотвращать	Washing hands prevents infection.
swelling	отёк	Ice reduces the swelling.
wound	рана	Clean the wound before bandaging it.
to heal	заживать	The cut healed in a few days.
to breathe	дышать	Breathe deeply and slowly.
to exercise	заниматься спортом, упражняться	I exercise three times a week.
stamina	выносливость	Swimming builds stamina.
diet	диета, рацион	A balanced diet keeps you healthy.
nutrition	питание	Good nutrition is the key to health.
to measure	измерять	The nurse measured my blood pressure.
appointment	запись (к врачу)	I have an appointment at nine.
# --- Глаголы общего назначения ---
to achieve	достигать	You can achieve your goal step by step.
to allow	разрешать	The rules allow mobile phones.
to appear	появляться	Stars appear in the evening sky.
to avoid	избегать	Avoid eating too much sugar.
to belong	принадлежать	This book belongs to my sister.
to borrow	занимать (брать в долг)	May I borrow your pen?
to lend	одалживать	He lent me his umbrella.
to choose	выбирать	Choose the right answer.
to compare	сравнивать	Compare the two pictures.
to continue	продолжать	The film continues after the break.
to create	создавать	Artists create beauty from simple things.
to decide	решать	They decided to move abroad.
to describe	описывать	Can you describe the suspect?
to develop	развивать, разрабатывать	The kids develop their imagination through play.
to disappear	исчезать	The old tram disappeared from the streets.
to discuss	обсуждать	We discussed the plan for an hour.
to divide	делить	Divide the cake into eight pieces.
to earn	зарабатывать	He earns enough for a living.
to encourage	поощрять, подбадривать	Teachers encourage students to ask questions.
to expect	ожидать	I expect a call from the office.
to explain	объяснять	The coach explained the new tactic.
to fail	терпеть неудачу	Do not be afraid to fail.
to hide	прятать	The cat hides behind the sofa.
to imagine	представлять	Imagine living on Mars.
to include	включать	The price includes breakfast.
to increase	увеличивать	Sales increased by twenty per cent.
to invite	приглашать	They invited us to the wedding.
to mention	упоминать	She mentioned the plan briefly.
to notice	замечать	I noticed a strange sound outside.
to offer	предлагать	They offered me a new job.
to order	заказывать	We ordered pizza for dinner.
to prepare	готовить, подготавливать	Prepare your questions in advance.
to promise	обещать	He promised to call back.
to reduce	сокращать	Reduce your screen time.
to refuse	отказываться	She refused the offer politely.
to remind	напоминать	Remind me about the meeting tomorrow.
to require	требовать	The job requires patience.
to solve	решать (проблему)	They solved the mystery together.
to suggest	предлагать (идею)	I suggest taking a break.
to support	поддерживать	Friends support each other.
to survive	выживать	The company survived the crisis.
to waste	тратить впустую	Do not waste your time.
# --- Прилагательные ---
reliable	надёжный	He is a reliable partner.
honest	честный	Be honest with yourself.
patient	терпеливый	Teachers must be patient.
curious	любознательный	Curious kids ask many questions.
creative	творческий	She has a creative approach to design.
careful	осторожный, внимательный	Be careful with the stairs.
careless	небрежный	A careless mistake cost us the match.
polite	вежливый	The waiter was polite and fast.
rude	грубый	It is rude to interrupt.
generous	щедрый	They made a generous donation.
stubborn	упрямый	Do not be so stubborn!
flexible	гибкий	My schedule is quite flexible.
efficient	эффективный	The new system is efficient and cheap.
convenient	удобный	A taxi is convenient at night.
expensive	дорогой	This restaurant is too expensive.
cheap	дешёвый	The hostel was cheap and clean.
crowded	переполненный	The metro is crowded in the morning.
peaceful	мирный, спокойный	The village is peaceful at night.
noisy	шумный	The street is noisy on weekends.
gloomy	мрачный	The sky looks gloomy today.
messy	грязный, беспорядочный	His desk is always messy.
tidy	аккуратный	Keep the room tidy.
empty	пустой	The box was almost empty.
heavy	тяжёлый	This bag is too heavy to lift.
light	лёгкий	I want something light for lunch.
narrow	узкий	The street is too narrow for a car.
wide	широкий	The river is very wide here.
sharp	острый	Be careful, the knife is sharp.
# --- Медицина и тело ---
pain	боль	She felt a sharp pain in her back.
fever	лихорадка	He has a high fever.
cough	кашель	Her cough lasted a week.
headache	головная боль	I have a terrible headache.
pill	таблетка	Take one pill after breakfast.
blood	кровь	He gave blood to the hospital.
bone	кость	The doctor examined the broken bone.
skin	кожа	The rash covers her arms and skin.
operation	операция	The operation was successful.
clinic	клиника	The clinic opens at eight.
dentist	стоматолог	I visit the dentist twice a year.
# --- Технологии: разработка ---
algorithm	алгоритм	The algorithm finds the answer instantly.
variable	переменная	Rename the variable to make it clear.
function	функция	This function returns a list.
bug	ошибка (в коде)	We fixed the bug before the release.
release	релиз, выпуск	The last release broke the build.
commit	коммит	Push your commits to the main branch.
branch	ветка (git)	Create a branch for the new feature.
database	база данных	The database stores all the data.
backup	резервная копия	Make a backup before the upgrade.
encryption	шифрование	Encryption protects your messages.
login	вход в систему	Enter your login and password.
logout	выход из системы	Always logout on a public computer.
interface	интерфейс	The new interface is much cleaner.
responsive	адаптивный	Our website is responsive and fast.
# --- Договоры и деньги ---
contract	договор	They signed a one-year contract.
client	клиент	Our client asked for a discount.
profit	прибыль	The company made a small profit last year.
loss	убыток	A long winter caused a loss.
revenue	выручка	Revenue grew by ten per cent.
report	отчёт	She wrote a short report for the boss.
presentation	презентация	The presentation lasted twenty minutes.
strategy	стратегия	Their marketing strategy is simple and clear.
goal	цель	Our goal is to help ten thousand learners.
stakeholder	заинтересованная сторона	Every stakeholder wants a better product.
# --- Дом и вещи ---
needle	игла	Use a needle and thread to sew the button.
button	кнопка, пуговица	Press the green button twice.
towel	полотенце	Hang the towel on the shelf.
soap	мыло	The soap smells like lavender.
brush	щётка	Mum bought a new hair brush.
shelf	полка	The keys are on the kitchen shelf.
drawer	ящик	Keep the cables in the top drawer.
blanket	одеяло	A warm blanket covered the chair.
curtain	занавеска	Close the curtain before the sun rises.
light bulb	лампочка	The light bulb burned out last night.
# --- Путешествия: пейзажи ---
harbor	гавань	The harbor was quiet in the morning.
coast	побережье	We drove along the northern coast.
island	остров	The island is only ten kilometres long.
desert	пустыня	No trees grow in this dry desert.
# --- Эмоции: оттенки ---
ashamed	стыдящийся	He felt ashamed of his mistake.
jealous	ревнивый	She is jealous of her cousin.
anxious	тревожный	Parents often feel anxious before exams.
calm	спокойный	Stay calm and speak slowly.
nervous	нервный	I get nervous before a flight.
bored	скучный, скучающий	The children were bored on a rainy day.
impatient	нетерпеливый	The queue made everyone impatient.
# --- Грамматика и учёба ---
vocabulary	словарный запас	Reading increases your vocabulary.
pronunciation	произношение	Her pronunciation is very clear.
sentence	предложение	Write a sentence with the new word.
spelling	правописание	Check the spelling in the dictionary.
mistake	ошибка	Everyone makes mistakes when learning.
rule	правило	Try to explain the rule in your own words.
example	пример	Can you give me another example?
meaning	значение, смысл	I do not understand the meaning of this word.
context	контекст	The meaning depends on the context.
fluent	свободно владеющий	She is fluent in three languages.
# --- Глаголы: новые ---
to fix	чинить, исправлять	Who can fix this broken chair?
to build	строить	They built a new library last year.
to break	ломать	Do not break the rules.
to carry	нести, переносить	Can you carry this bag?
to throw	бросать	Do not throw stones in the park.
to catch	ловить, ловить	He runs fast to catch the bus.
to keep	хранить, держать	Keep your keys on the shelf.
to move	перемещаться	The clouds moved quickly across the sky.
to turn	поворачивать	Turn left at the traffic light.
to cross	переходить	Always cross at the green light.
to reach	достигать	We reached the summit before sunset.
to return	возвращаться	I will return the book tomorrow.
to repeat	повторять	Could you repeat the question, please?
to correct	исправлять	Correct the mistakes in red ink.
